date,containment_and_health,stringency,economics_sup,total_cases,new_cases,total_deaths,new_deaths,gov_response,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters
2020-03-29,0.12086693706935803,0.16886758410485941,0.0,7.0,2.0,2.0,2.0,0.11695069555061166,0.0,0.0,0.0,0.0
2020-03-30,0.12086693706935803,0.16886758410485941,0.0,7.0,0.0,2.0,0.0,0.11695069555061166,0.0,0.0,0.0,0.0
2020-03-31,0.12086693706935803,0.16886758410485941,0.0,7.0,0.0,2.0,0.0,0.11695069555061166,0.0,0.0,0.0,0.0
2020-04-01,0.12562516437286264,0.16886758410485941,0.0,8.0,1.0,2.0,0.0,0.12155210657660523,0.0,0.0,0.0,0.0
2020-04-02,0.12562516437286264,0.16886758410485941,0.0,8.0,0.0,2.0,0.0,0.12155210657660523,0.0,0.0,0.0,0.0
2020-04-03,0.12562516437286264,0.16886758410485941,0.0,8.0,0.0,2.0,0.0,0.12155210657660523,0.0,0.0,0.0,0.0
2020-04-04,0.12562516437286264,0.16886758410485941,0.0,10.0,2.0,2.0,0.0,0.12155210657660523,0.0,0.0,0.0,0.0
2020-04-05,0.12562516437286264,0.16886758410485941,0.0,14.0,4.0,2.0,0.0,0.12155210657660523,0.0,0.0,0.0,0.0
2020-04-06,0.12562516437286264,0.16886758410485941,0.0,16.0,2.0,2.0,0.0,0.12155210657660523,0.0,0.0,0.0,0.0
2020-04-07,0.12562516437286264,0.16886758410485941,0.0,17.0,1.0,2.0,0.0,0.12155210657660523,0.0,0.0,0.0,0.0
2020-04-08,0.12562516437286264,0.16886758410485941,0.0,19.0,2.0,2.0,0.0,0.12155210657660523,0.0,0.0,0.0,0.0
2020-04-09,0.13627642632840647,0.16886758410485941,0.4347826086956523,19.0,0.0,2.0,0.0,0.14563796142080124,0.0,0.0,0.0,0.0
2020-04-10,0.13627642632840647,0.16886758410485941,0.4347826086956523,19.0,0.0,2.0,0.0,0.14563796142080124,0.0,0.0,0.0,0.0
2020-04-11,0.13627642632840647,0.16886758410485941,0.4347826086956523,19.0,0.0,2.0,0.0,0.14563796142080124,0.0,0.0,0.0,0.0
2020-04-12,0.13627642632840647,0.16886758410485941,0.4347826086956523,19.0,0.0,2.0,0.0,0.14563796142080124,0.0,0.0,0.0,0.0
