date,containment_and_health,stringency,economics_sup,total_cases,new_cases,total_deaths,new_deaths,gov_response,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters
2020-03-01,0.007459121423216626,0.007616858835626777,0.0,27.0,2.0,1.0,1.0,0.006101278371379779,0.0,0.0,0.0,0.0
2020-03-02,0.007459121423216626,0.007616858835626777,0.0,30.0,3.0,1.0,0.0,0.006101278371379779,0.0,0.0,0.0,0.0
2020-03-03,0.007459121423216626,0.007616858835626777,0.0,39.0,9.0,1.0,0.0,0.006101278371379779,0.0,0.0,0.0,0.0
2020-03-04,0.007459121423216626,0.007616858835626777,0.0,52.0,13.0,2.0,1.0,0.006101278371379779,0.0,0.0,0.0,0.0
2020-03-05,0.007459121423216626,0.007616858835626777,0.0,55.0,3.0,2.0,0.0,0.006101278371379779,0.0,0.0,0.0,0.0
2020-03-06,0.007459121423216626,0.007616858835626777,0.0,60.0,5.0,2.0,0.0,0.006101278371379779,0.0,0.0,0.0,0.0
2020-03-07,0.007459121423216626,0.007616858835626777,0.0,63.0,3.0,2.0,0.0,0.006101278371379779,0.0,0.0,0.0,0.0
2020-03-08,0.007459121423216626,0.007616858835626777,0.0,76.0,13.0,3.0,1.0,0.006101278371379779,0.0,0.0,0.0,0.0
2020-03-09,0.007459121423216626,0.007616858835626777,0.0,91.0,15.0,3.0,0.0,0.006101278371379779,0.0,0.0,0.0,0.0
2020-03-10,0.007459121423216626,0.007616858835626777,0.0,107.0,16.0,3.0,0.0,0.006101278371379779,0.0,0.0,0.0,0.0
2020-03-11,0.007459121423216626,0.007616858835626777,0.0,128.0,21.0,3.0,0.0,0.006101278371379779,0.0,0.0,0.0,0.0
2020-03-12,0.007459121423216626,0.007616858835626777,0.0051594262717985775,128.0,0.0,3.0,0.0,0.006595206459566206,0.0,0.0,0.0,0.0
2020-03-13,0.007459121423216626,0.007616858835626777,0.0051594262717985775,200.0,72.0,3.0,0.0,0.006595206459566206,0.0,0.0,0.0,0.0
2020-03-14,0.007459121423216626,0.007616858835626777,0.0051594262717985775,250.0,50.0,3.0,0.0,0.006595206459566206,0.0,0.0,0.0,0.0
2020-03-15,0.007459121423216626,0.007616858835626777,0.0051594262717985775,297.0,47.0,3.0,0.0,0.006595206459566206,0.0,0.0,0.0,0.0
2020-03-16,0.009881134056095777,0.011973827469997646,0.0051594262717985775,377.0,80.0,3.0,0.0,0.008574085018005419,0.0,0.0,0.0,0.0
2020-03-17,0.009881134056095777,0.011973827469997646,0.0051594262717985775,452.0,75.0,5.0,2.0,0.008574085018005419,0.0,0.0,0.0,0.0
2020-03-18,0.01270286345915638,0.014148393649921959,0.0051594262717985775,568.0,116.0,6.0,1.0,0.010885415174262421,0.0,0.0,0.0,0.0
2020-03-19,0.014518526076251799,0.017412201988438986,0.0051594262717985775,681.0,113.0,6.0,0.0,0.012367199438821704,0.0,0.0,0.0,0.0
2020-03-20,0.015121488661779757,0.018501444147031705,0.0051594262717985775,791.0,110.0,7.0,1.0,0.012864293732701634,0.0,0.0,0.0,0.0
2020-03-21,0.015121488661779757,0.018501444147031705,0.0051594262717985775,1071.0,280.0,7.0,0.0,0.012864293732701634,0.0,0.0,0.0,0.0
2020-03-22,0.015121488661779757,0.018501444147031705,0.010318852543597155,1549.0,478.0,7.0,0.0,0.013358221820888059,0.0,0.0,0.0,0.0
2020-03-23,0.016330801263091443,0.02067992846421714,0.010318852543597155,1682.0,133.0,7.0,0.0,0.014346077997260917,0.0,0.0,0.0,0.0
2020-03-24,0.020365230697719505,0.027936318671820424,0.010318852543597155,2044.0,362.0,8.0,1.0,0.017645264329890768,0.0,0.0,0.0,0.0
2020-03-25,0.020365230697719505,0.027936318671820424,0.030956557630791467,2364.0,320.0,8.0,0.0,0.019624142888329983,0.0,0.0,0.0,0.0
2020-03-26,0.020365230697719505,0.027936318671820424,0.030956557630791467,2810.0,446.0,13.0,5.0,0.019624142888329983,0.0,0.0,0.0,0.0
2020-03-27,0.020365230697719505,0.027936318671820424,0.030956557630791467,3143.0,333.0,13.0,0.0,0.019624142888329983,0.0,0.0,0.0,0.0
2020-03-28,0.020365230697719505,0.027936318671820424,0.030956557630791467,3640.0,497.0,14.0,1.0,0.019624142888329983,0.0,0.0,0.0,0.0
2020-03-29,0.020365230697719505,0.027936318671820424,0.030956557630791467,3984.0,344.0,16.0,2.0,0.019624142888329983,0.0,0.0,0.0,0.0
2020-03-30,0.020365230697719505,0.027936318671820424,0.030956557630791467,4361.0,377.0,17.0,1.0,0.019624142888329983,0.0,0.0,0.0,0.0
2020-03-31,0.020365230697719505,0.027936318671820424,0.030956557630791467,4559.0,198.0,18.0,1.0,0.019624142888329983,0.0,0.0,0.0,0.0
2020-04-01,0.020365230697719505,0.027936318671820424,0.030956557630791467,4862.0,303.0,20.0,2.0,0.019624142888329983,0.0,0.0,0.0,0.0
2020-04-02,0.020365230697719505,0.028661174065128536,0.030956557630791467,5116.0,254.0,24.0,4.0,0.019624142888329983,0.0,0.0,0.0,0.0
2020-04-03,0.020365230697719505,0.028661174065128536,0.030956557630791467,5330.0,214.0,28.0,4.0,0.019624142888329983,0.0,0.0,0.0,0.0
2020-04-04,0.020365230697719505,0.028661174065128536,0.030956557630791467,5550.0,220.0,30.0,2.0,0.019624142888329983,0.0,0.0,0.0,0.0
2020-04-05,0.020365230697719505,0.028661174065128536,0.030956557630791467,5687.0,137.0,35.0,5.0,0.019624142888329983,0.0,0.0,0.0,0.0
2020-04-06,0.020365230697719505,0.028661174065128536,0.030956557630791467,5797.0,110.0,40.0,5.0,0.019624142888329983,0.0,0.0,0.0,0.0
2020-04-07,0.020365230697719505,0.028661174065128536,0.030956557630791467,5895.0,98.0,45.0,5.0,0.019624142888329983,0.0,0.0,0.0,0.0
2020-04-08,0.020365230697719505,0.028661174065128536,0.030956557630791467,6010.0,115.0,50.0,5.0,0.019624142888329983,0.0,0.0,0.0,0.0
2020-04-09,0.020365230697719505,0.028661174065128536,0.030956557630791467,6108.0,98.0,51.0,1.0,0.019624142888329983,0.0,0.0,0.0,0.0
2020-04-10,0.020365230697719505,0.028661174065128536,0.030956557630791467,6215.0,107.0,54.0,3.0,0.019624142888329983,0.0,0.0,0.0,0.0
2020-04-11,0.020365230697719505,0.028661174065128536,0.030956557630791467,6303.0,88.0,57.0,3.0,0.019624142888329983,0.0,0.0,0.0,0.0
2020-04-12,0.020365230697719505,0.028661174065128536,0.030956557630791467,6315.0,12.0,60.0,3.0,0.019624142888329983,0.0,0.0,0.0,0.0
2020-04-13,0.020365230697719505,0.028661174065128536,0.030956557630791467,6351.0,36.0,61.0,1.0,0.019624142888329983,0.0,0.0,0.0,0.0
2020-04-14,0.020365230697719505,0.028661174065128536,0.030956557630791467,6415.0,64.0,62.0,1.0,0.019624142888329983,0.0,0.0,0.0,0.0
2020-04-15,0.01955902229684505,0.027207545141251194,0.030956557630791467,6440.0,25.0,63.0,1.0,0.018965572104081414,0.0,0.0,0.0,0.0
2020-04-16,0.01955902229684505,0.027207545141251194,0.030956557630791467,6462.0,22.0,63.0,0.0,0.018965572104081414,0.0,0.0,0.0,0.0
2020-04-17,0.01955902229684505,0.027207545141251194,0.030956557630791467,6522.0,60.0,66.0,3.0,0.018965572104081414,0.0,0.0,0.0,0.0
2020-04-18,0.01955902229684505,0.027207545141251194,0.030956557630791467,6568.0,46.0,67.0,1.0,0.018965572104081414,0.0,0.0,0.0,0.0
2020-04-19,0.01955902229684505,0.027207545141251194,0.030956557630791467,6610.0,42.0,67.0,0.0,0.018965572104081414,0.0,0.0,0.0,0.0
2020-04-20,0.01955902229684505,0.027207545141251194,0.030956557630791467,6623.0,13.0,67.0,0.0,0.018965572104081414,0.0,0.0,0.0,0.0
2020-04-21,0.01955902229684505,0.027207545141251194,0.030956557630791467,6645.0,22.0,67.0,0.0,0.018965572104081414,0.0,0.0,0.0,0.0
2020-04-22,0.01955902229684505,0.027207545141251194,0.030956557630791467,6652.0,7.0,67.0,0.0,0.018965572104081414,0.0,0.0,0.0,0.0
2020-04-23,0.01955902229684505,0.027207545141251194,0.030956557630791467,6662.0,10.0,75.0,8.0,0.018965572104081414,0.0,0.0,0.0,0.0
2020-04-24,0.01955902229684505,0.027207545141251194,0.030956557630791467,6677.0,15.0,79.0,4.0,0.018965572104081414,0.0,0.0,0.0,0.0
2020-04-25,0.01955902229684505,0.027207545141251194,0.030956557630791467,6694.0,17.0,80.0,1.0,0.018965572104081414,0.0,0.0,0.0,0.0
2020-04-26,0.01955902229684505,0.027207545141251194,0.030956557630791467,6714.0,20.0,83.0,3.0,0.018965572104081414,0.0,0.0,0.0,0.0
2020-04-27,0.021171439098593967,0.027207545141251194,0.030956557630791467,6721.0,7.0,83.0,0.0,0.020282713672578553,0.0,0.0,0.0,0.0
2020-04-28,0.021171439098593967,0.027207545141251194,0.030956557630791467,6744.0,23.0,89.0,6.0,0.020282713672578553,0.0,0.0,0.0,0.0
2020-04-29,0.021171439098593967,0.027207545141251194,0.030956557630791467,6752.0,8.0,91.0,2.0,0.020282713672578553,0.0,0.0,0.0,0.0
2020-04-30,0.021171439098593967,0.027207545141251194,0.030956557630791467,6766.0,14.0,93.0,2.0,0.020282713672578553,0.0,0.0,0.0,0.0
2020-05-01,0.021171439098593967,0.027207545141251194,0.030956557630791467,6778.0,12.0,93.0,0.0,0.020282713672578553,0.0,0.0,0.0,0.0
2020-05-02,0.021171439098593967,0.027207545141251194,0.030956557630791467,6799.0,21.0,94.0,1.0,0.020282713672578553,0.0,0.0,0.0,0.0
2020-05-03,0.021171439098593967,0.027207545141251194,0.030956557630791467,6822.0,23.0,95.0,1.0,0.020282713672578553,0.0,0.0,0.0,0.0
2020-05-04,0.021171439098593967,0.027207545141251194,0.030956557630791467,6847.0,25.0,96.0,1.0,0.020282713672578553,0.0,0.0,0.0,0.0
2020-05-05,0.021171439098593967,0.027207545141251194,0.030956557630791467,6875.0,28.0,97.0,1.0,0.020282713672578553,0.0,0.0,0.0,0.0
2020-05-06,0.021171439098593967,0.027207545141251194,0.030956557630791467,6894.0,19.0,97.0,0.0,0.020282713672578553,0.0,0.0,0.0,0.0
2020-05-07,0.021171439098593967,0.027207545141251194,0.030956557630791467,6913.0,19.0,97.0,0.0,0.020282713672578553,0.0,0.0,0.0,0.0
2020-05-08,0.021171439098593967,0.027207545141251194,0.030956557630791467,6918.0,5.0,97.0,0.0,0.020282713672578553,0.0,0.0,0.0,0.0
2020-05-09,0.021171439098593967,0.027207545141251194,0.030956557630791467,6939.0,21.0,97.0,0.0,0.020282713672578553,0.0,0.0,0.0,0.0
2020-05-10,0.021171439098593967,0.027207545141251194,0.030956557630791467,6948.0,9.0,97.0,0.0,0.020282713672578553,0.0,0.0,0.0,0.0
2020-05-11,0.021171439098593967,0.027207545141251194,0.030956557630791467,6970.0,22.0,97.0,0.0,0.020282713672578553,0.0,0.0,0.0,0.0
2020-05-12,0.021171439098593967,0.027207545141251194,0.030956557630791467,6980.0,10.0,98.0,1.0,0.020282713672578553,0.0,0.0,0.0,0.0
2020-05-13,0.021171439098593967,0.027207545141251194,0.030956557630791467,6989.0,9.0,98.0,0.0,0.020282713672578553,0.0,0.0,0.0,0.0
2020-05-14,0.021171439098593967,0.027207545141251194,0.030956557630791467,7019.0,30.0,98.0,0.0,0.020282713672578553,0.0,0.0,0.0,0.0
2020-05-15,0.019962126497282278,0.025757834354634992,0.030956557630791467,7035.0,16.0,98.0,0.0,0.019294857496205697,0.0,0.0,0.0,0.0
2020-05-16,0.019660645204518302,0.025213213275338632,0.030956557630791467,7044.0,9.0,98.0,0.0,0.019047893452112483,0.0,0.0,0.0,0.0
2020-05-17,0.019660645204518302,0.025213213275338632,0.030956557630791467,7054.0,10.0,99.0,1.0,0.019047893452112483,0.0,0.0,0.0,0.0
2020-05-18,0.020263607790046257,0.026302455433931348,0.030956557630791467,7068.0,14.0,99.0,0.0,0.01954182154029891,0.0,0.0,0.0,0.0
2020-05-19,0.020263607790046257,0.026302455433931348,0.030956557630791467,7072.0,4.0,100.0,1.0,0.01954182154029891,0.0,0.0,0.0,0.0
2020-05-20,0.020263607790046257,0.026302455433931348,0.030956557630791467,7081.0,9.0,100.0,0.0,0.01954182154029891,0.0,0.0,0.0,0.0
2020-05-21,0.020263607790046257,0.026302455433931348,0.030956557630791467,7095.0,14.0,101.0,1.0,0.01954182154029891,0.0,0.0,0.0,0.0
2020-05-22,0.020263607790046257,0.026302455433931348,0.030956557630791467,7099.0,4.0,101.0,0.0,0.01954182154029891,0.0,0.0,0.0,0.0
2020-05-23,0.020263607790046257,0.026302455433931348,0.030956557630791467,7114.0,15.0,102.0,1.0,0.01954182154029891,0.0,0.0,0.0,0.0
2020-05-24,0.020263607790046257,0.026302455433931348,0.030956557630791467,7114.0,0.0,102.0,0.0,0.01954182154029891,0.0,0.0,0.0,0.0
2020-05-25,0.0194573993891718,0.02557760004062325,0.030956557630791467,7126.0,12.0,102.0,0.0,0.01888325075605034,0.0,0.0,0.0,0.0
2020-05-26,0.0194573993891718,0.02557760004062325,0.030956557630791467,7139.0,13.0,103.0,1.0,0.01888325075605034,0.0,0.0,0.0,0.0
2020-05-27,0.0194573993891718,0.02557760004062325,0.030956557630791467,7150.0,11.0,103.0,0.0,0.01888325075605034,0.0,0.0,0.0,0.0
2020-05-28,0.0194573993891718,0.02557760004062325,0.030956557630791467,7165.0,15.0,103.0,0.0,0.01888325075605034,0.0,0.0,0.0,0.0
2020-05-29,0.01865119098829734,0.024852744647315142,0.030956557630791467,7184.0,19.0,103.0,0.0,0.01822151376610827,0.0,0.0,0.0,0.0
2020-05-30,0.01865119098829734,0.024852744647315142,0.030956557630791467,7192.0,8.0,103.0,0.0,0.01822151376610827,0.0,0.0,0.0,0.0
2020-05-31,0.01865119098829734,0.024852744647315142,0.030956557630791467,7202.0,10.0,103.0,0.0,0.01822151376610827,0.0,0.0,0.0,0.0
2020-06-01,0.018349709695533366,0.024308123568018786,0.030956557630791467,7221.0,19.0,102.0,0.0,0.017974549722015055,0.0,0.0,0.0,0.0
2020-06-02,0.018349709695533366,0.024308123568018786,0.030956557630791467,7229.0,8.0,102.0,0.0,0.017974549722015055,0.0,0.0,0.0,0.0
2020-06-03,0.018349709695533366,0.024308123568018786,0.030956557630791467,7240.0,11.0,102.0,0.0,0.017974549722015055,0.0,0.0,0.0,0.0
2020-06-04,0.018349709695533366,0.024308123568018786,0.030956557630791467,7247.0,7.0,102.0,0.0,0.017974549722015055,0.0,0.0,0.0,0.0
2020-06-05,0.018349709695533366,0.024308123568018786,0.030956557630791467,7252.0,5.0,102.0,0.0,0.017974549722015055,0.0,0.0,0.0,0.0
2020-06-06,0.018349709695533366,0.024308123568018786,0.030956557630791467,7259.0,7.0,102.0,0.0,0.017974549722015055,0.0,0.0,0.0,0.0
2020-06-07,0.018349709695533366,0.024308123568018786,0.030956557630791467,7265.0,6.0,102.0,0.0,0.017974549722015055,0.0,0.0,0.0,0.0
2020-06-08,0.018349709695533366,0.024308123568018786,0.030956557630791467,7267.0,2.0,102.0,0.0,0.017974549722015055,0.0,0.0,0.0,0.0
2020-06-09,0.01794660549509613,0.02358326817471068,0.030956557630791467,7274.0,7.0,102.0,0.0,0.017645264329890768,0.0,0.0,0.0,0.0
