date,containment_and_health,stringency,economics_sup,total_cases,new_cases,total_deaths,new_deaths,gov_response,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters
2020-03-23,0.14364207040161234,0.19058868368814677,0.07797270955165692,33.0,2.0,1.0,1.0,0.1366761666217369,0.0,0.0,0.0,0.0
2020-03-24,0.1473983787437436,0.19648821091955804,0.07797270955165692,61.0,28.0,1.0,0.0,0.1400594547831128,0.0,0.0,0.0,0.0
2020-03-25,0.1473983787437436,0.19648821091955804,0.07797270955165692,63.0,2.0,1.0,0.0,0.1400594547831128,0.0,0.0,0.0,0.0
2020-03-26,0.1473983787437436,0.19648821091955804,0.07797270955165692,71.0,8.0,1.0,0.0,0.1400594547831128,0.0,0.0,0.0,0.0
2020-03-27,0.1473983787437436,0.19648821091955804,0.07797270955165692,86.0,15.0,1.0,0.0,0.1400594547831128,0.0,0.0,0.0,0.0
2020-03-28,0.1473983787437436,0.19648821091955804,0.07797270955165692,88.0,2.0,1.0,0.0,0.1400594547831128,0.0,0.0,0.0,0.0
2020-03-29,0.1473983787437436,0.19648821091955804,0.07797270955165692,91.0,3.0,1.0,0.0,0.1400594547831128,0.0,0.0,0.0,0.0
2020-03-30,0.1473983787437436,0.19648821091955804,0.11695906432748539,94.0,3.0,1.0,0.0,0.1434644306891129,0.0,0.0,0.0,0.0
2020-03-31,0.1473983787437436,0.19648821091955804,0.11695906432748539,106.0,12.0,1.0,0.0,0.1434644306891129,0.0,0.0,0.0,0.0
2020-04-01,0.1473983787437436,0.19648821091955804,0.1949317738791423,112.0,6.0,1.0,0.0,0.15023100701186473,0.0,0.0,0.0,0.0
2020-04-02,0.1473983787437436,0.19648821091955804,0.1949317738791423,125.0,13.0,1.0,0.0,0.15023100701186473,0.0,0.0,0.0,0.0
2020-04-03,0.1473983787437436,0.19648821091955804,0.1949317738791423,126.0,1.0,1.0,0.0,0.15023100701186473,0.0,0.0,0.0,0.0
2020-04-04,0.1473983787437436,0.19648821091955804,0.1949317738791423,135.0,9.0,1.0,0.0,0.15023100701186473,0.0,0.0,0.0,0.0
2020-04-05,0.1473983787437436,0.19648821091955804,0.1949317738791423,140.0,5.0,1.0,0.0,0.15023100701186473,0.0,0.0,0.0,0.0
2020-04-06,0.1473983787437436,0.19648821091955804,0.1949317738791423,145.0,5.0,1.0,0.0,0.15023100701186473,0.0,0.0,0.0,0.0
2020-04-07,0.1473983787437436,0.19648821091955804,0.1949317738791423,165.0,20.0,3.0,2.0,0.15023100701186473,0.0,0.0,0.0,0.0
2020-04-08,0.1473983787437436,0.19648821091955804,0.1949317738791423,184.0,19.0,5.0,2.0,0.15023100701186473,0.0,0.0,0.0,0.0
