date,containment_and_health,stringency,economics_sup,total_cases,new_cases,total_deaths,new_deaths,gov_response,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters
2020-03-11,0.02412621340402367,0.015541033178333448,0.0,8.0,7.0,1.0,1.0,0.021792885005058025,0.0,0.0,0.0,0.0
2020-03-12,0.03670920563957728,0.03626862965027638,0.0,11.0,3.0,1.0,0.0,0.03316229496178696,0.0,0.0,0.0,0.0
2020-03-13,0.06502974978878549,0.0829103858877717,0.0,27.0,16.0,1.0,0.0,0.05873891960044437,0.0,0.0,0.0,0.0
2020-03-14,0.06502974978878549,0.0829103858877717,0.0,36.0,9.0,1.0,0.0,0.05873891960044437,0.0,0.0,0.0,0.0
2020-03-15,0.06502974978878549,0.0829103858877717,0.0,43.0,7.0,1.0,0.0,0.05873891960044437,0.0,0.0,0.0,0.0
2020-03-16,0.06924170377239518,0.08983202251341602,0.0,55.0,12.0,1.0,0.0,0.06254085028997453,0.0,0.0,0.0,0.0
2020-03-17,0.07763036526276425,0.09673500243656534,0.0,69.0,14.0,1.0,0.0,0.0701083295571733,0.0,0.0,0.0,0.0
2020-03-18,0.07763036526276425,0.09673500243656534,0.0,86.0,17.0,1.0,0.0,0.0701083295571733,0.0,0.0,0.0,0.0
2020-03-19,0.07763036526276425,0.09673500243656534,0.0,109.0,23.0,1.0,0.0,0.0701083295571733,0.0,0.0,0.0,0.0
2020-03-20,0.08601902675313335,0.11055961898535893,0.0,137.0,28.0,1.0,0.0,0.07769399988030284,0.0,0.0,0.0,0.0
2020-03-21,0.08601902675313335,0.11055961898535893,0.0,200.0,63.0,1.0,0.0,0.07769399988030284,0.0,0.0,0.0,0.0
2020-03-22,0.08601902675313335,0.11055961898535893,0.0,313.0,113.0,3.0,2.0,0.07769399988030284,0.0,0.0,0.0,0.0
2020-03-23,0.09860201898868695,0.1312872154573019,0.0,345.0,32.0,6.0,3.0,0.08906340983703179,0.0,0.0,0.0,0.0
2020-03-24,0.10489351510646376,0.14166034204452085,0.0,345.0,0.0,6.0,0.0,0.09473901928743086,0.0,0.0,0.0,0.0
2020-03-25,0.11329979983525798,0.14856332196767014,0.0,443.0,98.0,8.0,2.0,0.10232468961056042,0.0,0.0,0.0,0.0
2020-03-26,0.11329979983525798,0.14856332196767014,0.0,558.0,115.0,8.0,0.0,0.10232468961056042,0.0,0.0,0.0,0.0
2020-03-27,0.11329979983525798,0.14856332196767014,0.0,674.0,116.0,9.0,1.0,0.10232468961056042,0.0,0.0,0.0,0.0
2020-03-28,0.11329979983525798,0.14856332196767014,0.0,786.0,112.0,14.0,5.0,0.10232468961056042,0.0,0.0,0.0,0.0
2020-03-29,0.11329979983525798,0.14856332196767014,0.0,901.0,115.0,17.0,3.0,0.10232468961056042,0.0,0.0,0.0,0.0
2020-03-30,0.11329979983525798,0.14856332196767014,0.0,989.0,88.0,24.0,7.0,0.10232468961056042,0.0,0.0,0.0,0.0
2020-03-31,0.11329979983525798,0.14856332196767014,0.0,1181.0,192.0,30.0,6.0,0.10232468961056042,0.0,0.0,0.0,0.0
2020-04-01,0.11329979983525798,0.14856332196767014,0.0,1181.0,0.0,30.0,0.0,0.10232468961056042,0.0,0.0,0.0,0.0
2020-04-02,0.11329979983525798,0.14856332196767014,0.0,1317.0,136.0,32.0,2.0,0.10232468961056042,0.0,0.0,0.0,0.0
2020-04-03,0.1258827920708116,0.16929091843961308,0.0,1475.0,158.0,37.0,5.0,0.11369409956728935,0.0,0.0,0.0,0.0
2020-04-04,0.1258827920708116,0.16929091843961308,0.0,1673.0,198.0,41.0,4.0,0.11369409956728935,0.0,0.0,0.0,0.0
2020-04-05,0.1258827920708116,0.16929091843961308,0.0,1801.0,128.0,46.0,5.0,0.11369409956728935,0.0,0.0,0.0,0.0
2020-04-06,0.1258827920708116,0.16929091843961308,0.0,1988.0,187.0,54.0,8.0,0.11369409956728935,0.0,0.0,0.0,0.0
2020-04-07,0.1258827920708116,0.16929091843961308,0.0,2100.0,112.0,55.0,1.0,0.11369409956728935,0.0,0.0,0.0,0.0
2020-04-08,0.1258827920708116,0.16929091843961308,0.0,2249.0,149.0,59.0,4.0,0.11369409956728935,0.0,0.0,0.0,0.0
2020-04-09,0.1258827920708116,0.16929091843961308,0.0,2528.0,279.0,63.0,4.0,0.11369409956728935,0.0,0.0,0.0,0.0
2020-04-10,0.1258827920708116,0.16929091843961308,0.0,2752.0,224.0,66.0,3.0,0.11369409956728935,0.0,0.0,0.0,0.0
2020-04-11,0.13007712281599615,0.16929091843961308,0.0,2974.0,222.0,74.0,8.0,0.11747783920088874,0.0,0.0,0.0,0.0
2020-04-12,0.13007712281599615,0.16929091843961308,0.0,3234.0,260.0,79.0,5.0,0.11747783920088874,0.0,0.0,0.0,0.0
2020-04-13,0.1258827920708116,0.16929091843961308,0.0,3400.0,166.0,87.0,8.0,0.11369409956728935,0.0,0.0,0.0,0.0
2020-04-14,0.1258827920708116,0.16929091843961308,0.0,3472.0,72.0,94.0,7.0,0.11369409956728935,0.0,0.0,0.0,0.0
2020-04-15,0.1258827920708116,0.16929091843961308,0.0,3574.0,102.0,95.0,1.0,0.11369409956728935,0.0,0.0,0.0,0.0
2020-04-16,0.1258827920708116,0.16929091843961308,0.0,3751.0,177.0,103.0,8.0,0.11369409956728935,0.0,0.0,0.0,0.0
2020-04-17,0.1258827920708116,0.16929091843961308,0.0,4016.0,265.0,109.0,6.0,0.11369409956728935,0.0,0.0,0.0,0.0
2020-04-18,0.1290197285104874,0.17447748173322256,0.0,4210.0,194.0,116.0,7.0,0.11653190429248891,0.0,0.0,0.0,0.0
2020-04-19,0.1290197285104874,0.17447748173322256,0.0,4273.0,63.0,120.0,4.0,0.11653190429248891,0.0,0.0,0.0,0.0
2020-04-20,0.1290197285104874,0.17447748173322256,0.0,4467.0,194.0,126.0,6.0,0.11653190429248891,0.0,0.0,0.0,0.0
2020-04-21,0.1290197285104874,0.17447748173322256,0.0,4658.0,191.0,136.0,10.0,0.11653190429248891,0.0,0.0,0.0,0.0
2020-04-22,0.1290197285104874,0.17447748173322256,0.0,4821.0,163.0,141.0,5.0,0.11653190429248891,0.0,0.0,0.0,0.0
2020-04-23,0.1290197285104874,0.17447748173322256,0.0,5166.0,345.0,146.0,5.0,0.11653190429248891,0.0,0.0,0.0,0.0
2020-04-24,0.1290197285104874,0.17447748173322256,0.0,5338.0,172.0,154.0,8.0,0.11653190429248891,0.0,0.0,0.0,0.0
2020-04-25,0.1290197285104874,0.17447748173322256,0.0,5538.0,200.0,159.0,5.0,0.11653190429248891,0.0,0.0,0.0,0.0
2020-04-26,0.1290197285104874,0.17447748173322256,0.0,5779.0,241.0,165.0,6.0,0.11653190429248891,0.0,0.0,0.0,0.0
2020-04-27,0.1290197285104874,0.17447748173322256,0.0,6021.0,242.0,167.0,2.0,0.11653190429248891,0.0,0.0,0.0,0.0
2020-04-28,0.1290197285104874,0.17447748173322256,0.0,6021.0,0.0,167.0,0.0,0.11653190429248891,0.0,0.0,0.0,0.0
2020-04-29,0.1290197285104874,0.17447748173322256,0.0,6378.0,357.0,178.0,11.0,0.11653190429248891,0.0,0.0,0.0,0.0
2020-04-30,0.1290197285104874,0.17447748173322256,0.1484119916889285,6532.0,154.0,188.0,10.0,0.13075731003034813,0.0,0.0,0.0,0.0
2020-05-01,0.1290197285104874,0.17447748173322256,0.1484119916889285,6720.0,188.0,192.0,4.0,0.13075731003034813,0.0,0.0,0.0,0.0
2020-05-02,0.13323168249409711,0.17447748173322256,0.1484119916889285,7090.0,370.0,197.0,5.0,0.13454104966394753,0.0,0.0,0.0,0.0
2020-05-03,0.13323168249409711,0.17447748173322256,0.1484119916889285,7090.0,0.0,197.0,0.0,0.13454104966394753,0.0,0.0,0.0,0.0
2020-05-04,0.1290197285104874,0.17447748173322256,0.1484119916889285,7197.0,107.0,200.0,3.0,0.13075731003034813,0.0,0.0,0.0,0.0
2020-05-05,0.1290197285104874,0.17447748173322256,0.1484119916889285,7523.0,326.0,210.0,10.0,0.13075731003034813,0.0,0.0,0.0,0.0
2020-05-06,0.1290197285104874,0.17447748173322256,0.1484119916889285,7731.0,208.0,218.0,8.0,0.13075731003034813,0.0,0.0,0.0,0.0
