date,containment_and_health,stringency,economics_sup,total_cases,new_cases,total_deaths,new_deaths,gov_response,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters
2020-03-06,0.024000669696106036,0.02218708778579253,0.0,1.0,1.0,1.0,1.0,0.021613732389456217,0.0,0.0,0.0,0.0
2020-03-07,0.024000669696106036,0.02218708778579253,0.0,1.0,0.0,1.0,0.0,0.021613732389456217,0.0,0.0,0.0,0.0
2020-03-08,0.024000669696106036,0.02218708778579253,0.0,6.0,5.0,2.0,1.0,0.021613732389456217,0.0,0.0,0.0,0.0
2020-03-09,0.024000669696106036,0.02218708778579253,0.0,7.0,1.0,2.0,0.0,0.021613732389456217,0.0,0.0,0.0,0.0
2020-03-10,0.024000669696106036,0.02218708778579253,0.0,11.0,4.0,2.0,0.0,0.021613732389456217,0.0,0.0,0.0,0.0
2020-03-11,0.026887847031860732,0.026627700028017388,0.0,11.0,0.0,2.0,0.0,0.02420339617805466,0.0,0.0,0.0,0.0
2020-03-12,0.05567897297779438,0.07098590217427068,0.0,15.0,4.0,3.0,1.0,0.050149835290742885,0.0,0.0,0.0,0.0
2020-03-13,0.05567897297779438,0.07098590217427068,0.0,28.0,13.0,3.0,0.0,0.050149835290742885,0.0,0.0,0.0,0.0
2020-03-14,0.06145332764930376,0.07986712665872041,0.0,38.0,10.0,3.0,0.0,0.05532916286793976,0.0,0.0,0.0,0.0
2020-03-15,0.09792208718081971,0.1183151614322284,0.0,43.0,5.0,5.0,2.0,0.08818137208355717,0.0,0.0,0.0,0.0
2020-03-16,0.11521289223070258,0.1449428614602458,0.05260389268805893,86.0,43.0,5.0,0.0,0.10893188321014725,0.0,0.0,0.0,0.0
2020-03-17,0.11521289223070258,0.1449428614602458,0.05260389268805893,117.0,31.0,9.0,4.0,0.10893188321014725,0.0,0.0,0.0,0.0
2020-03-18,0.11905170902349373,0.1508530288329911,0.15781167806417676,145.0,28.0,15.0,6.0,0.12277662423380811,0.0,0.0,0.0,0.0
2020-03-19,0.11905170902349373,0.1508530288329911,0.15781167806417676,234.0,89.0,20.0,5.0,0.12277662423380811,0.0,0.0,0.0,0.0
2020-03-20,0.11905170902349373,0.1508530288329911,0.15781167806417676,234.0,0.0,26.0,6.0,0.12277662423380811,0.0,0.0,0.0,0.0
2020-03-21,0.11905170902349373,0.1508530288329911,0.15781167806417676,318.0,84.0,30.0,4.0,0.12277662423380811,0.0,0.0,0.0,0.0
