date,containment_and_health,stringency,economics_sup,total_cases,new_cases,total_deaths,new_deaths,gov_response,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters
2020-03-12,0.07567637785210839,0.09895100536073663,0.0,49.0,18.0,1.0,1.0,0.0638693169126397,0.0,0.0,0.0,0.0
2020-03-13,0.07567637785210839,0.09895100536073663,0.0,68.0,19.0,2.0,1.0,0.0638693169126397,0.0,0.0,0.0,0.0
2020-03-14,0.0866788078635939,0.11652329812938196,0.0,103.0,35.0,3.0,1.0,0.07314318631426558,0.0,0.0,0.0,0.0
2020-03-15,0.09906809880089694,0.13632774700647685,0.0,119.0,16.0,3.0,0.0,0.08359858234638705,0.0,0.0,0.0,0.0
2020-03-16,0.09906809880089694,0.13632774700647685,0.0,177.0,58.0,4.0,1.0,0.08359858234638705,0.0,0.0,0.0,0.0
2020-03-17,0.09906809880089694,0.13632774700647685,0.0,238.0,61.0,5.0,1.0,0.08359858234638705,0.0,0.0,0.0,0.0
2020-03-18,0.09906809880089694,0.13632774700647685,0.024154589371980673,251.0,13.0,5.0,0.0,0.08707628337199674,0.0,0.0,0.0,0.0
2020-03-19,0.09906809880089694,0.13632774700647685,0.024154589371980673,355.0,104.0,5.0,0.0,0.08707628337199674,0.0,0.0,0.0,0.0
2020-03-20,0.09906809880089694,0.13632774700647685,0.024154589371980673,425.0,70.0,5.0,0.0,0.08707628337199674,0.0,0.0,0.0,0.0
2020-03-21,0.09906809880089694,0.13632774700647685,0.024154589371980673,536.0,111.0,5.0,0.0,0.08707628337199674,0.0,0.0,0.0,0.0
2020-03-22,0.1045693138066397,0.13632774700647685,0.024154589371980673,634.0,98.0,7.0,2.0,0.09173551102810204,0.0,0.0,0.0,0.0
2020-03-23,0.1045693138066397,0.13632774700647685,0.024154589371980673,749.0,115.0,8.0,1.0,0.09173551102810204,0.0,0.0,0.0,0.0
2020-03-24,0.1045693138066397,0.13632774700647685,0.024154589371980673,901.0,152.0,10.0,2.0,0.09173551102810204,0.0,0.0,0.0,0.0
2020-03-25,0.1045693138066397,0.13632774700647685,0.07246376811594202,1051.0,150.0,14.0,4.0,0.09869091307932146,0.0,0.0,0.0,0.0
2020-03-26,0.1045693138066397,0.13632774700647685,0.07246376811594202,1221.0,170.0,16.0,2.0,0.09869091307932146,0.0,0.0,0.0,0.0
2020-03-27,0.1045693138066397,0.13632774700647685,0.07246376811594202,1389.0,168.0,16.0,0.0,0.09869091307932146,0.0,0.0,0.0,0.0
2020-03-28,0.1045693138066397,0.13632774700647685,0.07246376811594202,1638.0,249.0,18.0,2.0,0.09869091307932146,0.0,0.0,0.0,0.0
2020-03-29,0.1045693138066397,0.13632774700647685,0.07246376811594202,1862.0,224.0,22.0,4.0,0.09869091307932146,0.0,0.0,0.0,0.0
2020-03-30,0.1045693138066397,0.13632774700647685,0.07246376811594202,2055.0,193.0,31.0,9.0,0.09869091307932146,0.0,0.0,0.0,0.0
2020-03-31,0.1320753888353535,0.1934851911877327,0.07246376811594202,2311.0,256.0,33.0,2.0,0.12192017249397086,0.0,0.0,0.0,0.0
2020-04-01,0.14032721134396764,0.1934851911877327,0.07246376811594202,2554.0,243.0,43.0,10.0,0.12887557454519027,0.0,0.0,0.0,0.0
2020-04-02,0.14032721134396764,0.1934851911877327,0.07246376811594202,2946.0,392.0,57.0,14.0,0.12887557454519027,0.0,0.0,0.0,0.0
2020-04-03,0.14032721134396764,0.1934851911877327,0.07246376811594202,3383.0,437.0,71.0,14.0,0.12887557454519027,0.0,0.0,0.0,0.0
2020-04-04,0.14032721134396764,0.1934851911877327,0.07246376811594202,3627.0,244.0,79.0,8.0,0.12887557454519027,0.0,0.0,0.0,0.0
2020-04-05,0.14032721134396764,0.1934851911877327,0.07246376811594202,4102.0,475.0,94.0,15.0,0.12887557454519027,0.0,0.0,0.0,0.0
2020-04-06,0.14032721134396764,0.1934851911877327,0.07246376811594202,4413.0,311.0,107.0,13.0,0.12887557454519027,0.0,0.0,0.0,0.0
2020-04-07,0.14032721134396764,0.1934851911877327,0.07246376811594202,4848.0,435.0,129.0,22.0,0.12887557454519027,0.0,0.0,0.0,0.0
2020-04-08,0.14032721134396764,0.1934851911877327,0.07246376811594202,5205.0,357.0,159.0,30.0,0.12887557454519027,0.0,0.0,0.0,0.0
2020-04-09,0.14860214820134543,0.2066881571057959,0.07246376811594202,5575.0,370.0,174.0,15.0,0.13585326955170204,0.0,0.0,0.0,0.0
2020-04-10,0.14860214820134543,0.2066881571057959,0.07246376811594202,5955.0,380.0,181.0,7.0,0.13585326955170204,0.0,0.0,0.0,0.0
2020-04-11,0.14860214820134543,0.2066881571057959,0.07246376811594202,6356.0,401.0,208.0,27.0,0.13585326955170204,0.0,0.0,0.0,0.0
2020-04-12,0.14860214820134543,0.2066881571057959,0.07246376811594202,6674.0,318.0,232.0,24.0,0.13585326955170204,0.0,0.0,0.0,0.0
