date,containment_and_health,stringency,economics_sup,total_cases,new_cases,total_deaths,new_deaths,gov_response,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred
2020-01-30,11.9,11.12,0.0,4.0,4.0,1.0,1.0,26.05,0.0,0.0,0.0
2020-01-31,27.98,13.89,0.0,6.0,2.0,1.0,0.0,58.86,0.0,0.0,0.0
2020-02-01,27.98,13.89,0.0,6.0,0.0,1.0,0.0,58.86,0.0,0.0,0.0
2020-02-02,33.34,22.22,0.0,10.0,4.0,2.0,1.0,72.9,0.0,0.0,0.0
2020-02-03,33.34,22.22,0.0,88.0,78.0,2.0,0.0,72.9,0.0,0.0,0.0
2020-02-04,33.34,22.22,0.0,88.0,0.0,2.0,0.0,72.9,0.0,0.0,0.0
2020-02-05,33.34,22.22,0.0,93.0,5.0,2.0,0.0,72.9,0.0,0.0,0.0
2020-02-06,33.34,22.22,0.0,93.0,0.0,2.0,0.0,72.9,0.0,0.0,0.0
2020-02-07,33.34,22.22,0.0,93.0,0.0,2.0,0.0,72.9,0.0,0.0,0.0
2020-02-08,33.34,22.22,0.0,109.0,16.0,2.0,0.0,72.9,0.0,0.0,0.0
2020-02-09,33.34,22.22,0.0,114.0,5.0,2.0,0.0,72.9,0.0,0.0,0.0
2020-02-10,33.34,22.22,0.0,118.0,4.0,2.0,0.0,72.9,0.0,0.0,0.0
2020-02-11,33.34,22.22,0.0,135.0,17.0,2.0,0.0,72.9,0.0,0.0,0.0
2020-02-12,33.34,22.22,0.0,140.0,5.0,2.0,0.0,72.9,0.0,0.0,0.0
2020-02-13,33.34,22.22,0.0,145.0,5.0,2.0,0.0,72.9,0.0,0.0,0.0
2020-02-14,33.34,22.22,0.0,146.0,1.0,2.0,0.0,72.9,0.0,0.0,0.0
2020-02-15,33.34,22.22,0.0,146.0,0.0,2.0,0.0,72.9,0.0,0.0,0.0
2020-02-16,33.34,22.22,0.0,146.0,0.0,2.0,0.0,72.9,0.0,0.0,0.0
2020-02-17,33.34,22.22,0.0,151.0,5.0,2.0,0.0,72.9,0.0,0.0,0.0
2020-02-18,33.34,22.22,0.0,151.0,0.0,2.0,0.0,72.9,0.0,0.0,0.0
2020-02-19,33.34,22.22,0.0,152.0,1.0,2.0,0.0,72.9,0.0,0.0,0.0
2020-02-20,33.34,22.22,0.0,154.0,2.0,2.0,0.0,72.9,0.0,0.0,0.0
2020-02-21,33.34,22.22,0.0,163.0,9.0,2.0,0.0,72.9,0.0,0.0,0.0
2020-02-22,33.34,22.22,0.0,163.0,0.0,3.0,1.0,72.9,0.0,0.0,0.0
2020-02-23,33.34,22.22,0.0,192.0,29.0,3.0,0.0,72.9,0.0,0.0,0.0
2020-02-24,33.34,22.22,0.0,202.0,10.0,3.0,0.0,72.9,0.0,0.0,0.0
2020-02-25,33.34,22.22,0.0,218.0,16.0,3.0,0.0,72.9,0.0,0.0,0.0
2020-02-26,46.440000000000005,33.33,0.0,87.0,0.0,3.0,0.0,63.540000000000006,0.0,0.0,0.0
2020-02-27,63.11000000000001,44.44,0.0,101.0,14.0,3.0,0.0,69.78,0.0,0.0,0.0
2020-02-28,76.21000000000001,55.55,0.0,124.0,23.0,3.0,0.0,66.66,0.0,0.0,0.0
2020-02-29,76.21000000000001,55.55,0.0,133.0,9.0,3.0,0.0,66.66,0.0,0.0,0.0
2020-03-01,76.21000000000001,55.55,0.0,186.0,53.0,3.0,0.0,66.66,0.0,0.0,0.0
2020-03-02,76.21000000000001,55.55,0.0,267.0,81.0,4.0,1.0,66.66,0.0,0.0,0.0
2020-03-03,76.21000000000001,55.55,0.0,379.0,112.0,4.0,0.0,66.66,0.0,0.0,0.0
2020-03-04,76.21000000000001,55.55,0.0,491.0,112.0,5.0,1.0,66.66,0.0,0.0,0.0
2020-03-05,76.21000000000001,55.55,0.0,589.0,98.0,7.0,2.0,66.66,0.0,0.0,0.0
2020-03-06,76.21000000000001,55.55,0.0,751.0,162.0,10.0,3.0,66.66,0.0,0.0,0.0
2020-03-07,76.21000000000001,55.55,0.0,874.0,123.0,11.0,1.0,66.66,0.0,0.0,0.0
2020-03-08,76.21000000000001,55.55,0.0,983.0,109.0,13.0,2.0,66.66,0.0,0.0,0.0
2020-03-09,76.21000000000001,55.55,0.0,1278.0,295.0,19.0,6.0,66.66,0.0,0.0,0.0
2020-03-10,76.21000000000001,55.55,0.0,1801.0,523.0,26.0,7.0,66.66,0.0,0.0,0.0
2020-03-11,76.21000000000001,55.55,0.0,2615.0,814.0,33.0,7.0,66.66,0.0,0.0,0.0
2020-03-12,61.92,55.55,0.0,3588.0,973.0,48.0,15.0,54.17,0.0,0.0,0.0
2020-03-13,65.49,61.1,0.0,4545.0,957.0,65.0,17.0,57.300000000000004,0.0,0.0,0.0
2020-03-14,65.49,61.1,0.0,5261.0,716.0,105.0,40.0,57.300000000000004,0.0,0.0,0.0
2020-03-15,65.49,61.1,0.0,6144.0,883.0,150.0,45.0,57.300000000000004,0.0,0.0,0.0
2020-03-16,84.54,90.73,0.0,7358.0,1214.0,223.0,73.0,73.96,0.0,0.0,0.0
2020-03-17,98.82000000000001,112.96000000000001,125.0,8909.0,1551.0,298.0,75.0,102.08,0.0,0.0,0.0
2020-03-18,114.29,137.03,125.0,10889.0,1980.0,405.0,107.0,115.63,0.0,0.0,0.0
2020-03-19,114.29,137.03,325.0,12986.0,2097.0,530.0,125.0,140.62,0.0,0.0,0.0
2020-03-20,144.04,183.35,437.5,15492.0,2506.0,680.0,150.0,180.73,0.0,0.0,0.0
2020-03-21,183.94,245.37,437.5,17870.0,2378.0,882.0,202.0,215.62,0.0,0.0,0.0
2020-03-22,218.45,291.66999999999996,437.5,20608.0,2738.0,1101.0,219.0,245.85,0.0,0.0,0.0
2020-03-23,311.02,391.2,437.5,25233.0,4625.0,1385.0,284.0,326.83,0.0,0.0,0.0
2020-03-24,315.48,398.15,437.5,29958.0,4725.0,1796.0,411.0,330.73,0.0,0.0,0.0
2020-03-25,315.48,398.15,450.0,35317.0,5359.0,2324.0,528.0,332.3,0.0,0.0,0.0
2020-03-26,315.48,398.15,500.0,41440.0,6123.0,2918.0,594.0,338.54,0.0,0.0,0.0
2020-03-27,315.48,398.15,500.0,47795.0,6355.0,3669.0,751.0,338.54,0.0,0.0,0.0
2020-03-28,315.48,398.15,500.0,53391.0,5596.0,4477.0,808.0,338.54,0.0,0.0,0.0
2020-03-29,315.48,398.15,500.0,59066.0,5675.0,5275.0,798.0,338.54,0.0,0.0,0.0
2020-03-30,317.87,398.15,500.0,67534.0,8468.0,6360.0,1085.0,340.62,0.0,0.0,0.0
2020-03-31,317.87,398.15,500.0,76512.0,8978.0,7594.0,1234.0,340.62,0.0,0.0,0.0
2020-04-01,317.87,398.15,500.0,86317.0,9805.0,9190.0,1596.0,340.62,0.0,0.0,0.0
2020-04-02,317.87,398.15,500.0,96006.0,9689.0,10854.0,1664.0,340.62,0.0,0.0,0.0
2020-04-03,317.87,398.15,500.0,105774.0,9768.0,12651.0,1797.0,340.62,0.0,0.0,0.0
2020-04-04,317.87,398.15,500.0,113770.0,7996.0,14554.0,1903.0,340.62,0.0,0.0,0.0
2020-04-05,317.87,398.15,500.0,120920.0,7150.0,16373.0,1819.0,340.62,0.0,0.0,0.0
2020-04-06,317.87,398.15,500.0,131468.0,10548.0,18110.0,1737.0,340.62,0.0,0.0,0.0
2020-04-07,317.87,398.15,500.0,142395.0,10927.0,20508.0,2398.0,340.62,0.0,0.0,0.0
2020-04-08,317.87,398.15,500.0,152670.0,10275.0,22999.0,2491.0,340.62,0.0,0.0,0.0
2020-04-09,317.87,398.15,500.0,162397.0,9727.0,25490.0,2491.0,340.62,0.0,0.0,0.0
2020-04-10,317.87,398.15,500.0,171039.0,8642.0,27931.0,2441.0,340.62,0.0,0.0,0.0
2020-04-11,317.87,398.15,500.0,178201.0,7162.0,30139.0,2208.0,340.62,0.0,0.0,0.0
2020-04-12,317.87,398.15,500.0,185203.0,7002.0,32174.0,2035.0,340.62,0.0,0.0,0.0
2020-04-13,317.87,398.15,500.0,193589.0,8386.0,34130.0,1956.0,340.62,0.0,0.0,0.0
2020-04-14,317.87,398.15,500.0,202249.0,8660.0,36460.0,2330.0,340.62,0.0,0.0,0.0
2020-04-15,317.87,398.15,500.0,212384.0,10135.0,38616.0,2156.0,340.62,0.0,0.0,0.0
2020-04-16,317.87,398.15,500.0,222974.0,10590.0,40974.0,2358.0,340.62,0.0,0.0,0.0
2020-04-17,317.87,398.15,500.0,232916.0,9942.0,43159.0,2185.0,340.62,0.0,0.0,0.0
2020-04-18,317.87,398.15,500.0,242376.0,9460.0,45453.0,2294.0,340.62,0.0,0.0,0.0
2020-04-19,317.87,398.15,500.0,250109.0,7733.0,47007.0,1554.0,340.62,0.0,0.0,0.0
2020-04-20,317.87,398.15,500.0,259408.0,9299.0,48737.0,1730.0,340.62,0.0,0.0,0.0
2020-04-21,317.87,398.15,500.0,268963.0,9555.0,51046.0,2309.0,340.62,0.0,0.0,0.0
2020-04-22,317.87,398.15,500.0,279970.0,11007.0,52995.0,1949.0,340.62,0.0,0.0,0.0
2020-04-23,321.44000000000005,398.15,500.0,290280.0,10310.0,54715.0,1720.0,343.75,0.0,0.0,0.0
2020-04-24,321.44000000000005,398.15,500.0,300214.0,9934.0,56730.0,2015.0,343.75,0.0,0.0,0.0
2020-04-25,321.44000000000005,398.15,500.0,307719.0,7505.0,58464.0,1734.0,343.75,0.0,0.0,0.0
2020-04-26,321.44000000000005,398.15,500.0,314663.0,6944.0,59722.0,1258.0,343.75,0.0,0.0,0.0
2020-04-27,321.44000000000005,398.15,500.0,324104.0,9441.0,60908.0,1186.0,343.75,0.0,0.0,0.0
2020-04-28,324.12,398.15,500.0,333544.0,9440.0,62678.0,1770.0,346.1,0.0,0.0,0.0
2020-04-29,324.12,398.15,500.0,344412.0,10868.0,64264.0,1586.0,346.1,0.0,0.0,0.0
2020-04-30,324.12,398.15,500.0,354329.0,9917.0,65678.0,1414.0,346.1,0.0,0.0,0.0
2020-05-01,324.12,398.15,500.0,363822.0,9493.0,67162.0,1484.0,346.1,0.0,0.0,0.0
2020-05-02,324.12,398.15,500.0,370301.0,6479.0,68451.0,1289.0,346.1,0.0,0.0,0.0
2020-05-03,324.12,398.15,500.0,376277.0,5976.0,69366.0,915.0,346.1,0.0,0.0,0.0
2020-05-04,324.12,398.15,500.0,383053.0,6776.0,70314.0,948.0,346.1,0.0,0.0,0.0
2020-05-05,324.12,398.15,500.0,390423.0,7370.0,71682.0,1368.0,346.1,0.0,0.0,0.0
2020-05-06,324.12,398.15,500.0,398086.0,7663.0,72956.0,1274.0,346.1,0.0,0.0,0.0
2020-05-07,324.12,398.15,500.0,405640.0,7554.0,74045.0,1089.0,346.1,0.0,0.0,0.0
2020-05-08,324.12,398.15,500.0,411753.0,6113.0,75193.0,1148.0,346.1,0.0,0.0,0.0
2020-05-09,324.12,398.15,500.0,416073.0,4320.0,76007.0,814.0,346.1,0.0,0.0,0.0
2020-05-10,324.12,398.15,500.0,420731.0,4658.0,76718.0,711.0,346.1,0.0,0.0,0.0
2020-05-11,320.54,392.6,500.0,427926.0,7195.0,77333.0,615.0,342.97,0.0,0.0,0.0
2020-05-12,316.35999999999996,383.34000000000003,500.0,434725.0,6799.0,78388.0,1055.0,339.32,0.0,0.0,0.0
2020-05-13,300.28999999999996,358.34000000000003,500.0,441353.0,6628.0,79289.0,901.0,325.27,0.0,0.0,0.0
2020-05-14,300.28999999999996,358.34000000000003,500.0,446592.0,5239.0,80106.0,817.0,325.27,0.0,0.0,0.0
2020-05-15,300.28999999999996,358.34000000000003,500.0,451639.0,5047.0,80877.0,771.0,325.27,0.0,0.0,0.0
2020-05-16,300.28999999999996,358.34000000000003,500.0,455786.0,4147.0,81707.0,830.0,325.27,0.0,0.0,0.0
2020-05-17,300.28999999999996,358.34000000000003,500.0,459449.0,3663.0,82151.0,444.0,325.27,0.0,0.0,0.0
2020-05-18,309.82,354.64,500.0,464604.0,5155.0,82704.0,553.0,333.6,0.0,0.0,0.0
2020-05-19,309.82,354.64,500.0,470708.0,6104.0,83576.0,872.0,333.6,0.0,0.0,0.0
2020-05-20,309.82,354.64,500.0,476133.0,5425.0,84257.0,681.0,333.6,0.0,0.0,0.0
2020-05-21,309.82,354.64,500.0,481242.0,5109.0,84872.0,615.0,333.6,0.0,0.0,0.0
2020-05-22,309.82,354.64,500.0,485329.0,4087.0,85463.0,591.0,333.6,0.0,0.0,0.0
2020-05-23,309.82,354.64,500.0,488368.0,3039.0,85967.0,504.0,333.6,0.0,0.0,0.0
2020-05-24,309.82,354.64,500.0,491089.0,2721.0,86627.0,660.0,333.6,0.0,0.0,0.0
2020-05-25,309.82,354.64,500.0,494321.0,3232.0,87010.0,383.0,333.6,0.0,0.0,0.0
2020-05-26,309.82,354.64,500.0,498041.0,3720.0,87441.0,431.0,333.6,0.0,0.0,0.0
2020-05-27,313.39,354.64,500.0,501668.0,3627.0,88145.0,704.0,336.73,0.0,0.0,0.0
2020-05-28,313.39,354.64,500.0,505159.0,3491.0,88776.0,631.0,336.73,0.0,0.0,0.0
2020-05-29,307.44,345.37,500.0,508194.0,3035.0,89304.0,528.0,331.52,0.0,0.0,0.0
2020-05-30,307.44,345.37,500.0,510425.0,2231.0,89677.0,373.0,331.52,0.0,0.0,0.0
2020-05-31,307.44,345.37,500.0,512574.0,2149.0,89932.0,255.0,331.52,0.0,0.0,0.0
2020-06-01,311.01,339.82,500.0,515447.0,2873.0,90217.0,285.0,334.65,0.0,0.0,0.0
2020-06-02,308.63,336.11,500.0,518406.0,2959.0,90699.0,482.0,332.56,0.0,0.0,0.0
2020-06-03,308.63,336.11,500.0,521117.0,2711.0,91156.0,457.0,332.56,0.0,0.0,0.0
